"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"07.04.2023","1,965.44","1,965.49","1,970.53","1,963.21","857.82M","0.21%"
"06.04.2023","1,961.28","1,966.67","1,968.64","1,958.82","1.18B","-1.14%"
"05.04.2023","1,983.84","2,006.80","2,007.89","1,982.22","1.20B","-1.92%"
"04.04.2023","2,022.76","2,019.60","2,023.63","2,014.10","1.21B","0.25%"
"03.04.2023","2,017.68","2,015.05","2,020.84","2,009.03","1.22B","0.71%"
"31.03.2023","2,003.50","1,999.15","2,010.52","1,998.33","1.46B","1.02%"
"30.03.2023","1,983.32","1,984.61","1,988.36","1,974.13","1.30B","-0.61%"
"29.03.2023","1,995.48","1,971.24","1,995.48","1,967.60","1.40B","1.46%"
"28.03.2023","1,966.67","1,972.83","1,975.04","1,960.45","1.07B","0.25%"
"27.03.2023","1,961.84","1,963.67","1,966.82","1,955.58","987.09M","0.33%"
"24.03.2023","1,955.32","1,950.55","1,958.15","1,946.32","1.04B","-0.10%"
"23.03.2023","1,957.32","1,944.37","1,960.14","1,938.85","1.07B","-0.29%"
"22.03.2023","1,962.93","1,956.51","1,968.70","1,955.69","1.28B","1.74%"
"20.03.2023","1,929.30","1,949.83","1,956.91","1,929.30","1.38B","-1.54%"
"17.03.2023","1,959.42","1,952.46","1,961.06","1,947.25","1.67B","1.15%"
"16.03.2023","1,937.10","1,929.06","1,939.58","1,910.60","1.69B","-1.17%"
"15.03.2023","1,960.12","1,966.67","1,971.02","1,952.18","1.37B","0.65%"
"14.03.2023","1,947.54","1,973.92","1,974.07","1,935.62","1.94B","-2.67%"
"13.03.2023","2,000.99","2,010.90","2,011.35","1,987.00","1.52B","-1.51%"
"10.03.2023","2,031.58","2,048.99","2,053.21","2,030.29","1.73B","-1.91%"
"09.03.2023","2,071.09","2,063.71","2,071.60","2,063.11","1.24B","0.97%"
"08.03.2023","2,051.21","2,040.54","2,053.01","2,040.54","1.14B","0.30%"
"07.03.2023","2,044.98","2,035.00","2,046.11","2,034.82","1.16B","0.42%"
"06.03.2023","2,036.49","2,033.10","2,038.72","2,030.98","1.12B","0.84%"
"03.03.2023","2,019.52","2,005.31","2,021.43","2,001.98","1.30B","1.25%"
"02.03.2023","1,994.57","2,001.67","2,004.54","1,991.10","1.15B","-0.16%"
"01.03.2023","1,997.81","1,989.38","1,997.81","1,984.88","1.17B","0.23%"
"28.02.2023","1,993.28","1,997.64","2,001.42","1,990.61","1.44B","0.03%"
